5.00000000000001e-6,2.4067339904920657*^-20+0.*I,2.4067339913685215*^-20+0.*I,2.4067339868522467*^-20+0.*I,-1.2033669975041703*^-20-1.9295730123761905*^-30*I,-1.2033669929878955*^-20+1.9295721039063723*^-30*I,-1.2033669938643513*^-20-1.9295721508949355*^-30*I
5.0623599377924525e-6,2.592544309411979*^-20+0.*I,2.5925443103561008*^-20+0.*I,2.59254430549115*^-20+0.*I,-1.2962721571384649*^-20-2.104468027632642*^-30*I,-1.296272152273514*^-20+2.1044670118857584*^-30*I,-1.296272153217636*^-20-2.1044670644681072*^-30*I
5.125497627953191e-6,2.7926999918731665*^-20+0.*I,2.7926999928901785*^-20+0.*I,2.792699987649632*^-20+0.*I,-1.3963499985568564*^-20-2.295215393106547*^-30*I,-1.3963499933163098*^-20+2.295214257541673*^-30*I,-1.3963499943333224*^-20-2.2952143162483956*^-30*I
5.1894227706000754e-6,3.008308562213792*^-20+0.*I,3.008308563309322*^-20+0.*I,3.008308557664183*^-20+0.*I,-1.5041542839294656*^-20-2.5032519533757624*^-30*I,-1.5041542782843266*^-20+2.5032506839385542*^-30*I,-1.5041542793798563*^-20-2.503250749748895*^-30*I
5.254145186830737e-6,3.2405630504561675*^-20+0.*I,3.2405630516362775*^-20+0.*I,3.240563045555309*^-20+0.*I,-1.620281528268568*^-20-2.7301447882070324*^-30*I,-1.6202815221875995*^-20+2.730143368703255*^-30*I,-1.6202815233677092*^-20-2.7301434422102147*^-30*I
5.319674820231383e-6,3.4907485937160474*^-20+0.*I,3.4907485949872664*^-20+0.*I,3.490748588436821*^-20+0.*I,-1.7453743001332463*^-20-2.9776030155727656*^-30*I,-1.745374293582801*^-20+2.9776014287221155*^-30*I,-1.74537429485402*^-20-2.9776015108434478*^-30*I
5.386021738404514e-6,3.760249547269696*^-20+0.*I,3.760249548639059*^-20+0.*I,3.7602495415828906*^-20+0.*I,-1.8801247771629322*^-20-3.2474906673900166*^-30*I,-1.8801247701067637*^-20+3.2474888930708154*^-30*I,-1.8801247714761267*^-20-3.247488984748913*^-30*I
5.453196134515633e-6,4.050557144625882*^-20+0.*I,4.050557146100966*^-20+0.*I,4.050557138500031*^-20+0.*I,-2.0252785761134087*^-20-3.541840728762993*^-30*I,-2.0252785685124734*^-20+3.541838745109334*^-30*I,-2.0252785699875573*^-20-3.541838847852927*^-30*I
5.52120832885931e-6,4.363277748988882*^-20+0.*I,4.363277750577849*^-20+0.*I,4.3632777423900883*^-20+0.*I,-2.1816388785883215*^-20-3.862870454190233*^-30*I,-2.181638870400561*^-20+3.8628682370205395*^-30*I,-2.1816388719895276*^-20-3.8628683517909265*^-30*I
5.590068770444667e-6,4.700141741769687*^-20+0.*I,4.700141743481329*^-20+0.*I,4.700141734661438*^-20+0.*I,-2.3500708752947892*^-20-4.212998068791451*^-30*I,-2.3500708664748982*^-20+4.212995588892198*^-30*I,-2.3500708681865396*^-20-4.2129957173731664*^-30*I
