5.00000000000001e-6,3.7133563651064816e-20,3.713356370653454e-20,9.854250464079924e-45
5.0623599377924525e-6,4.000043607185951e-20,4.000043613161174e-20,-1.8135789857640938e-44
5.125497627953191e-6,4.3088643493405587e-20,4.308864355777095e-20,-3.5046015796052816e-44
5.1894227706000754e-6,4.6415273938555393e-20,4.641527400789004e-20,8.845547597417982e-45
5.254145186830737e-6,4.99987346996642e-20,4.9998734774351784e-20,4.639620536410796e-44
5.319674820231383e-6,5.3858854191911854e-20,5.385885427236564e-20,6.741134595553383e-45
5.386021738404514e-6,5.801699167014776e-20,5.801699175681294e-20,-1.7865220007001921e-44
5.453196134515633e-6,6.249615541634782e-20,6.249615550970391e-20,1.9727520230902555e-44
5.52120832885931e-6,6.732113005165893e-20,6.732113015222252e-20,1.6337962292402882e-44
5.590068770444667e-6,7.25186136774775e-20,7.251861378580503e-20,-5.813230003245773e-44
5.659788038600748e-6,7.811736560441989e-20,7.81173657211108e-20,6.861914948324585e-44
5.730376844601848e-6,8.414836548660463e-20,8.414836561230458e-20,5.621802721420276e-44
5.801846033313173e-6,9.064498474179537e-20,9.064498487719989e-20,3.7786783860976623e-44
5.874206584856922e-6,9.764317120591097e-20,9.764317135176931e-20,1.2517722295630654e-43
5.947469616299249e-6,1.0518164804367266e-19,1.051816482007919e-19,-8.556841714497547e-44
6.02164638335821e-6,1.133021280160076e-19,1.1330212818525712e-19,1.0175653501202185e-43
6.0967482821330714e-6,1.2204954428983108e-19,1.220495444721474e-19,1.2440278436569882e-43
6.172786850855072e-6,1.314722990673278e-19,1.3147229926371972e-19,4.431314103835613e-45
6.249773771660138e-6,1.4162253141050352e-19,1.4162253162205775e-19,-5.382565809603878e-44
6.327720872383639e-6,1.525564057429417e-19,1.5255640597082886e-19,1.6209963839259128e-44
6.406640128377597e-6,1.6433442262515336e-19,1.643344228706344e-19,3.7589406509633024e-43
6.486543664350436e-6,1.7702175352310897e-19,1.7702175378754218e-19,1.3177075763215725e-43
6.5674437562298076e-6,1.9068860142236771e-19,1.9068860170721634e-19,2.037094642372857e-43
6.649352833048565e-6,2.0541058928316325e-19,2.0541058959000342e-19,5.623611923822833e-44
6.732283478854348e-6,2.2126917848591625e-19,2.212691788164458e-19,2.2177952018957498e-43
6.816248434642838e-6,2.383521195825223e-19,2.383521199385701e-19,5.681637902897965e-43
6.901260600315271e-6,2.5675393784761293e-19,2.567539382311492e-19,3.2451213450301044e-44
6.9873330366602766e-6,2.7657645631645485e-19,2.765764567296018e-19,3.344504967148254e-43
7.0744789673605195e-6,2.9792935920365354e-19,2.9792935964869724e-19,5.935406326654814e-43
7.162711781024229e-6,3.2093079882017983e-19,3.2093079929958284e-19,5.971534224767444e-43
7.2520450332422035e-6,3.4570804934704535e-19,3.457080498634603e-19,1.222305564065778e-42
7.342492448670384e-6,3.723982110831049e-19,3.723982116393894e-19,1.1188474419202454e-42
7.434067923138498e-6,4.0114896906385797e-19,4.0114896966309003e-19,1.2354779549785966e-42
7.52678552578484e-6,4.321194102488464e-19,4.3211941089434174e-19,3.464803113493569e-43
7.620659501217841e-6,4.654809037994926e-19,4.65480904494823e-19,3.825979935478203e-43
7.715704271704492e-6,5.014180493181529e-19,5.014180500671658e-19,1.1090116872385938e-42
7.811934439386168e-6,5.401296982953531e-19,5.401296991021931e-19,1.6619800841160444e-42
7.909364788521921e-6,5.81830054417091e-19,5.818300552862226e-19,1.6098488097004515e-43
8.008010287759914e-6,6.267498588206683e-19,6.2674985975690045e-19,2.133194541425168e-42
8.107886092437087e-6,6.75137666857343e-19,6.751376678658565e-19,1.5703748504153607e-42
8.209007546907605e-6,7.272612234266056e-19,7.272612245129807e-19,2.2976471582254924e-42
8.311390186900177e-6,7.8340894449210655e-19,7.834089456623545e-19,4.4519937083132586e-42
8.41504974190494e-6,8.4389151297706985e-19,8.43891514237666e-19,4.070300235260452e-42
8.520002137590023e-6,9.090435978696652e-19,9.090435992275847e-19,2.6850827712388463e-42
8.626263498248342e-6,9.792257060507643e-19,9.792257075135212e-19,5.478767846043605e-42
8.73385014927474e-6,1.05482617709067e-18,1.0548261786663581e-18,4.626381636427891e-42
8.842778619674197e-6,1.1362633320528389e-18,1.136263333750177e-18,1.0688853710909353e-41
8.953065644601226e-6,1.2239877881944348e-18,1.2239877900228145e-18,5.554389419120651e-42
9.064728167931024e-6,1.3184849523717888e-18,1.3184849543413274e-18,9.583419008172273e-42
9.177783344862541e-6,1.4202777069473512e-18,1.4202777090689467e-18,1.3333837185291705e-41
9.29224854455417e-6,1.5299293030603337e-18,1.5299293053457256e-18,6.543901526695e-42
9.408141352792214e-6,1.6480464772702006e-18,1.6480464797320348e-18,1.0193890055935422e-41
9.52547957469274e-6,1.7752828088185276e-18,1.775282811470426e-18,1.638607052949531e-41
9.644281237436947e-6,1.9123423360856962e-18,1.9123423389423326e-18,1.9824929425999995e-41
9.764564593040824e-6,2.059983452253765e-18,2.0599834553309463e-18,2.65825513149897e-41
9.886348121159268e-6,2.219023101731131e-18,2.2190231050458836e-18,1.1894906831608522e-41
0.000010009650531925254,2.3903413005592897e-18,2.3903413041299557e-18,3.1989719168517943e-41
0.000010134490768824244,2.5748860058141487e-18,2.5748860096604858e-18,3.2985017417982706e-41
0.000010260888011604638,2.773678360946264e-18,2.7736783650895544e-18,3.642343012803286e-41
0.000010388861679224394,2.9878183460836234e-18,2.9878183505467942e-18,4.621052142428296e-41
0.00001051843143283454,3.2184908645622708e-18,3.2184908693700175e-18,5.071259741252589e-41
