5.00000000000001e-6,2.4067339904920657e-20,2.4067339913685215e-20,2.4067339868522467e-20,-1.2033669975041703e-20,-1.2033669929878955e-20,-1.2033669938643513e-20
5.0623599377924525e-6,2.592544309411979e-20,2.5925443103561008e-20,2.59254430549115e-20,-1.2962721571384649e-20,-1.296272152273514e-20,-1.296272153217636e-20
5.125497627953191e-6,2.7926999918731665e-20,2.7926999928901785e-20,2.792699987649632e-20,-1.3963499985568564e-20,-1.3963499933163098e-20,-1.3963499943333224e-20
5.1894227706000754e-6,3.008308562213792e-20,3.008308563309322e-20,3.008308557664183e-20,-1.5041542839294656e-20,-1.5041542782843266e-20,-1.5041542793798563e-20
5.254145186830737e-6,3.2405630504561675e-20,3.2405630516362775e-20,3.240563045555309e-20,-1.620281528268568e-20,-1.6202815221875995e-20,-1.6202815233677092e-20
5.319674820231383e-6,3.4907485937160474e-20,3.4907485949872664e-20,3.490748588436821e-20,-1.7453743001332463e-20,-1.745374293582801e-20,-1.74537429485402e-20
5.386021738404514e-6,3.760249547269696e-20,3.760249548639059e-20,3.7602495415828906e-20,-1.8801247771629322e-20,-1.8801247701067637e-20,-1.8801247714761267e-20
5.453196134515633e-6,4.050557144625882e-20,4.050557146100966e-20,4.050557138500031e-20,-2.0252785761134087e-20,-2.0252785685124734e-20,-2.0252785699875573e-20
5.52120832885931e-6,4.363277748988882e-20,4.363277750577849e-20,4.3632777423900883e-20,-2.1816388785883215e-20,-2.181638870400561e-20,-2.1816388719895276e-20
5.590068770444667e-6,4.700141741769687e-20,4.700141743481329e-20,4.700141734661438e-20,-2.3500708752947892e-20,-2.3500708664748982e-20,-2.3500708681865396e-20
5.659788038600748e-6,5.0630130973292165e-20,5.063013099173005e-20,5.0630130896721794e-20,-2.5315065534150207e-20,-2.5315065439141958e-20,-2.531506545757984e-20
5.730376844601848e-6,5.45389969693287e-20,5.453899698919005e-20,5.453899688684676e-20,-2.7269498535835994e-20,-2.7269498433492697e-20,-2.726949845335406e-20
5.801846033313173e-6,5.874964438987378e-20,5.874964441126852e-20,5.874964430102388e-20,-2.9374822250059207e-20,-2.9374822139814565e-20,-2.937482216120931e-20
5.874206584856922e-6,6.328537207035379e-20,6.32853720934003e-20,6.328537197464429e-20,-3.1642686094554896e-20,-3.1642685975798884e-20,-3.1642685998845405e-20
5.947469616299249e-6,6.817127761731609e-20,6.817127764214189e-20,6.81712775142174e-20,-3.408563887262029e-20,-3.408563874469579e-20,-3.40856387695216e-20
6.02164638335821e-6,7.343439628135033e-20,7.343439630809279e-20,7.343439617029198e-20,-3.671719820957557e-20,-3.6717198071774756e-20,-3.6717198098517226e-20
6.0967482821330714e-6,7.910385055160542e-20,7.910385058041253e-20,7.910385043197289e-20,-3.955192535002253e-20,-3.955192520158289e-20,-3.955192523038999e-20
6.172786850855072e-6,8.521101129964084e-20,8.521101133067197e-20,8.521101117077214e-20,-4.260550572977033e-20,-4.260550556987051e-20,-4.260550560090164e-20
6.249773771660138e-6,9.17896713642898e-20,9.178967139771668e-20,9.178967122547189e-20,-4.589483576826729e-20,-4.589483559602251e-20,-4.5894835629449384e-20
6.327720872383639e-6,9.887623253801885e-20,9.887623257402642e-20,9.887623238848359e-20,-4.943811636178083e-20,-4.943811617623801e-20,-4.943811621224558e-20
6.406640128377597e-6,1.0650990698944957e-19,1.0650990702823709e-19,1.0650990682836955e-19,-5.325495359465855e-20,-5.3254953394791013e-20,-5.325495343357853e-20
6.486543664350436e-6,1.1473293423655799e-19,1.1473293427834005e-19,1.1473293406304188e-19,-5.736646722592808e-20,-5.73664670106299e-20,-5.736646705241198e-20
6.5674437562298076e-6,1.2359081487115537e-19,1.235908149161632e-19,1.2359081468424308e-19,-6.179540755153775e-20,-6.179540731961761e-20,-6.179540736462545e-20
6.649352833048565e-6,1.3313256232790088e-19,1.3313256237638352e-19,1.3313256212655814e-19,-6.656628128886313e-20,-6.656628103903775e-20,-6.656628108752039e-20
6.732283478854348e-6,1.4341097409098038e-19,1.4341097414320611e-19,1.4341097387409313e-19,-7.170548718004668e-20,-7.17054869109337e-20,-7.170548696315942e-20
6.816248434642838e-6,1.5448292383909526e-19,1.5448292389535303e-19,1.5448292360546335e-19,-7.724146206449246e-20,-7.72414617746028e-20,-7.724146183086056e-20
6.901260600315271e-6,1.6640967614532422e-19,1.6640967620592532e-19,1.6640967589365492e-19,-8.320483822879731e-20,-8.320483791652691e-20,-8.3204837977128e-20
6.9873330366602766e-6,1.7925722547316254e-19,1.7925722553844232e-19,1.792572252020633e-19,-8.962861290477079e-20,-8.962861256839176e-20,-8.962861263367154e-20
7.0744789673605195e-6,1.930966613445331e-19,1.9309666141485276e-19,1.930966610525038e-19,-9.654833085344102e-20,-9.654833049109207e-20,-9.654833056141172e-20
7.162711781024229e-6,2.0800456170032233e-19,2.0800456177607096e-19,2.080045613857471e-19,-1.0400228104532309e-19,-1.0400228065499923e-19,-1.0400228073074786e-19
7.2520450332422035e-6,2.240634166300703e-19,2.2406341671166704e-19,2.240634162912085e-19,-1.1203170852526441e-19,-1.1203170810480588e-19,-1.1203170818640262e-19
7.342492448670384e-6,2.413620848154073e-19,2.4136208490330367e-19,2.413620844503839e-19,-1.2068104263416355e-19,-1.2068104218124376e-19,-1.2068104226914015e-19
7.434067923138498e-6,2.5999628521291247e-19,2.5999628530759485e-19,2.599962848197077e-19,-1.2999814285039982e-19,-1.2999814236251268e-19,-1.2999814245719503e-19
7.52678552578484e-6,2.8006912669697993e-19,2.8006912679897217e-19,2.8006912627341805e-19,-1.4003456361126705e-19,-1.4003456308571288e-19,-1.4003456318770515e-19
7.620659501217841e-6,3.016916785934296e-19,3.016916787032961e-19,3.016916781371669e-19,-1.5084583957977942e-19,-1.508458390136502e-19,-1.508458391235167e-19
7.715704271704492e-6,3.2498358526075457e-19,3.2498358537910325e-19,3.249835847692664e-19,-1.6249179293529571e-19,-1.6249179232545885e-19,-1.6249179244380754e-19
