5.00000000000001e-6,3.610100981660052e-20,3.610100987052782e-20,6.327069878116498e-45
5.0623599377924525e-6,3.888816459725078e-20,3.888816465534151e-20,3.493307080400484e-45
5.125497627953191e-6,4.189049983077709e-20,4.189049989335268e-20,-4.918255402573513e-44
5.1894227706000754e-6,4.512462838223314e-20,4.512462844963983e-20,2.5557376571225154e-44
5.254145186830737e-6,4.860844570193338e-20,4.860844577454416e-20,-3.5276899983723127e-44
5.319674820231383e-6,5.236122884659235e-20,5.2361228924809e-20,1.4283214980037977e-44
5.386021738404514e-6,5.640374314533057e-20,5.640374322958589e-20,-1.0036804303792035e-44
5.453196134515633e-6,6.075835710075429e-20,6.075835719151449e-20,2.849929062438324e-44
5.52120832885931e-6,6.544916616090047e-20,6.544916625866774e-20,1.1713872059553336e-43
5.590068770444667e-6,7.050212604690461e-20,7.050212615221994e-20,5.019531108402729e-44
5.659788038600748e-6,7.594519637414894e-20,7.594519648759507e-20,8.527346725915909e-45
5.730376844601848e-6,8.180849536158043e-20,8.180849548378509e-20,2.589469167231841e-44
5.801846033313173e-6,8.812446648526338e-20,8.812446661690277e-20,1.5596725829849364e-43
5.874206584856922e-6,9.492805799829792e-20,9.492805814010045e-20,6.314936628617907e-44
5.947469616299249e-6,1.0225691631046253e-19,1.0225691646321284e-19,6.973216113284546e-44
6.02164638335821e-6,1.1015159429759592e-19,1.101515944621392e-19,7.700115744183125e-44
6.0967482821330714e-6,1.1865577569337205e-19,1.1865577587061878e-19,8.502788599162118e-44
6.172786850855072e-6,1.27816516805077e-19,1.2781651699600795e-19,2.5179948676385384e-43
6.249773771660138e-6,1.3768450689090337e-19,1.3768450709657501e-19,1.74368760800732e-43
6.327720872383639e-6,1.4831434863948923e-19,1.4831434886103962e-19,5.203925675317563e-44
6.406640128377597e-6,1.5976486030370056e-19,1.5976486054235563e-19,1.3216700516193505e-43
6.486543664350436e-6,1.7209940116042983e-19,1.7209940141751008e-19,1.9670755260693297e-43
6.5674437562298076e-6,1.8538622209731685e-19,1.8538622237424482e-19,-2.1020581400207986e-44
6.649352833048565e-6,1.9969884326626728e-19,1.996988435645753e-19,3.4043975828516315e-43
6.732283478854348e-6,2.1511646089347046e-19,2.1511646121480917e-19,2.5631438440787815e-43
6.816248434642838e-6,2.317243854968821e-19,2.3172438584302953e-19,2.264264170139302e-43
6.901260600315271e-6,2.4961451393601647e-19,2.4961451430888796e-19,3.333726433473309e-43
6.9873330366602766e-6,2.688858379060047e-19,2.688858383076635e-19,4.0263558225424644e-43
7.0744789673605195e-6,2.8964499168961053e-19,2.896449921222791e-19,3.556855867634856e-43
7.162711781024229e-6,3.1200684219803397e-19,3.120068426641064e-19,4.2081733121842935e-43
7.2520450332422035e-6,3.3609512456544526e-19,3.360951250675006e-19,1.486988889479553e-42
7.342492448670384e-6,3.6204312681413936e-19,3.620431273549555e-19,4.789152310795725e-43
7.434067923138498e-6,3.899944273788228e-19,3.8999442796139228e-19,-1.5109661403569855e-43
7.52678552578484e-6,4.2010368957091184e-19,4.2010369019845825e-19,1.0010830540425038e-42
7.620659501217841e-6,4.5253751737894845e-19,4.525375180549442e-19,1.6120965170488697e-43
7.715704271704492e-6,4.874753773404693e-19,4.874753780686549e-19,2.2124648485549697e-42
7.811934439386168e-6,5.251105915863968e-19,5.251105923708014e-19,1.7410568143936333e-42
7.909364788521921e-6,5.656514075526767e-19,5.656514083976407e-19,9.922825615039047e-43
8.008010287759914e-6,6.093221502783263e-19,6.093221511885253e-19,3.013229286218207e-42
8.107886092437087e-6,6.563644636658227e-19,6.563644646462929e-19,1.8905302845888548e-42
